,MODEL,TYPE
230,CADENZA,Car
231,FORTE,Car
232,FORTE5,Car
233,K900,Car
234,NIRO HYBRID,Car
235,NIRO PLUG-IN HYBRID,Car
236,OPTIMA,Car
237,OPTIMA HYBRID,Car
238,OPTIMA PLUG-IN HYBRID,Car
239,RIO,Car
240,SEDONA,Van
241,SORENTO,SUV
242,SOUL,Hatch
243,SOUL EV,EV
244,SPORTAGE,SUV
245,STINGER,Car
246,DISCOVERY,SUV
247,DISCOVERY SPORT (5 SEAT),SUV
248,DISCOVERY SPORT (7 SEAT),SUV
249,RANGE ROVER (LWB),SUV
250,RANGE ROVER (SWB),SUV
251,RANGE ROVER EVOQUE (5-DOOR),SUV
252,RANGE ROVER EVOQUE (CONVERTIBLE),SUV
253,RANGE ROVER SPORT (5 SEAT),SUV
254,RANGE ROVER SPORT (7 SEAT),SUV
255,RANGE ROVER VELAR,SUV
256,ES300H,Car
257,ES350,Car
258,GS F,Car
259,GS300,Car
260,GS350,Car
261,GS450H,Car
262,GX460,SUV
263,IS300,Car
264,IS350,Car
265,LC 500,Car
266,LC 500H,Car
267,LX570,SUV
268,NX300,SUV
269,NX300H,SUV
270,RC 300,Car
271,RC 350,Car
272,RC F,Car
273,RX350,SUV
274,RX350L,SUV
275,RX450H,SUV
276,RX450HL,SUV
277,CONTINENTAL,Car
278,MKC,SUV
279,MKT,SUV
280,MKX,SUV
281,MKZ,SUV
282,MKZ HEV,SUV
283,NAVIGATOR,SUV
284,NAVIGATOR EL,SUV
285,GHIBLI,Car
286,GRAN TURISMO,Car
287,LEVANTE,SUV
288,QUATTROPORTE,Car
289,CX-3,SUV
290,CX-5,SUV
291,CX-9,SUV
292,MAZDA2,Hatch
293,MAZDA3,Hatch
294,MAZDA6,Car
295,MX-5,Car
296,C-CLASS,Car
297,C-CLASS PHEV,Car
298,CLA-CLASS,Car
299,CLS-CLASS,Car
300,E-CLASS,Car
301,G-CLASS,SUV
302,GLA-CLASS,SUV
303,GLC-CLASS,SUV
304,GLC-CLASS COUPE,SUV
305,GLC-CLASS PHEV,SUV
306,GLE-CLASS,SUV
307,GLE-CLASS COUPE,SUV
308,GLE-CLASS PHEV,SUV
309,GLS-CLASS,SUV
310,GT-CLASS,Sport
311,S-CLASS,Car
312,S-CLASS COUPE,Car
313,SL-CLASS,Car
314,SLC-CLASS,Car
315,CLUBMAN,Hatch
316,CONVERTIBLE,Hatch
317,COUNTRYMAN,Hatch
318,HARDTOP,Hatch
319,MIRAGE,Hatch
320,MIRAGE G4,Car
321,OUTLANDER,SUV
322,OUTLANDER SPORT,SUV
323,370Z,Car
324,370Z ROADSTER,Car
325,ALTIMA,Car
326,ARMADA,SUV
327,CHEVROLET CITY EXPRESS,Van
328,FRONTIER,Truck
329,GTR,Sport
330,MAXIMA,Car
331,NV200,Van
332,PATHFINDER,SUV
333,ROGUE,SUV
334,SENTRA,Car
335,SENTRA NISMO,Car
336,SENTRA TURBO,Car
337,TITAN,Truck
338,TITAN XD,Truck
339,VERSA,Car
340,VERSA NOTE,Car
341,718 BOXSTER,Sport
342,718 BOXSTER S,Sport
343,718 CAYMAN,Sport
344,718 CAYMAN S,Sport
345,911 CARRERA,Sport
346,911 CARRERA 4,Sport
347,911 CARRERA 4 CABRIOLET,Sport
348,911 CARRERA 4 GTS,Sport
349,911 CARRERA 4 GTS CABRIOLET,Sport
350,911 CARRERA 4S,Sport
351,911 CARRERA 4S CABRIOLET,Sport
352,911 CARRERA CABRIOLET,Sport
353,911 CARRERA GTS,Sport
354,911 CARRERA GTS CABRIOLET,Sport
355,911 CARRERA S,Sport
356,911 CARRERA S CABRIOLET,Sport
357,911 GT3,Sport
358,911 TARGA 4,Sport
359,911 TARGA 4 GTS,Sport
360,911 TARGA 4S,Sport
361,911 TURBO,Sport
362,911 TURBO CABRIOLET,Sport
363,911 TURBO S,Sport
364,911 TURBO S CABRIOLET,Sport
365,CAYENNE,SUV
366,CAYENNE GTS,SUV
367,CAYENNE PLATINUM,SUV
368,CAYENNE S,SUV
369,CAYENNE S E-HYBRID,SUV
370,CAYENNE S E-HYBRID PLATINUM,SUV
371,CAYENNE TURBO,SUV
372,CAYENNE TURBO S,SUV
373,MACAN GTS,SUV
374,MACAN S,SUV
375,MACAN TURBO,SUV
376,MACAN TURBO WITH PERFORMANCE,SUV
377,PANAMERA,Car
378,PANAMERA 4,Car
379,PANAMERA 4 E-HYBRID,Car
380,PANAMERA 4 E-HYBRID EXECUTIVE,Car
381,PANAMERA 4 E-HYBRID SPORT TURISMO,Car
382,PANAMERA 4 EXECUTIVE,Car
383,PANAMERA 4 SPORT TURISMO,Car
384,PANAMERA 4S,Car
385,PANAMERA 4S EXECUTIVE,Car
386,PANAMERA 4S SPORT TURISMO,Car
387,PANAMERA TURBO,Car
388,PANAMERA TURBO EXECUTIVE,Car
389,PANAMERA TURBO S E-HYBRID,Car
390,PANAMERA TURBO S E-HYBRID EXECUTIVE,Car
391,PANAMERA TURBO S E-HYBRID SPORT TURISMO,Car
392,PANAMERA TURBO SPORT TURISMO,Car
393,1500,Truck
394,2500,Truck
395,DAWN,Car
396,GHOST,Car
397,GHOST EWB,Car
398,WRAITH,Car
399,ELECTRIC CABRIO,Car
400,ELECTRIC FORTWO,Car
401,BRZ,Car
402,CROSSTREK,SUV
403,FORESTER,SUV
404,IMPREZA,Car
405,LEGACY,Car
406,OUTBACK,SUV
407,WRX,Sport
408,4RUNNER,SUV
409,86,Car
410,AVALON,Car
411,AVALON HYBRID,Car
412,C-HR,SUV
413,CAMRY,Car
414,CAMRY HYBRID,Car
415,COROLLA,Car
416,COROLLA IM,Car
417,HIGHLANDER,SUV
418,HIGHLANDER HYBRID,SUV
419,LAND CRUISER,SUV
420,MIRAI,EV
421,PRIUS,Car
422,PRIUS C,Car
423,PRIUS PRIME,Car
424,RAV4,SUV
425,RAV4 HYBRID,SUV
426,SEQUOIA,SUV
427,SIENNA,Van
428,TACOMA,Truck
429,TUNDRA,Truck
430,YARIS,Car
431,YARIS IA,Hatch
432,ALLTRACK,Car
433,ATLAS,SUV
434,BEETLE,Car
435,E-GOLF,EV
436,GOLF,Hatch
437,GOLF GTI,Hatch
438,GOLF R,Hatch
439,GOLF SPORTWAGEN,Car
440,JETTA,Car
441,JETTA GLI,Car
442,PASSAT,Car
443,TIGUAN,SUV
444,TIGUAN LTD,SUV
445,S60,Car
446,S60CC,Car
447,S60I,Car
448,S90 T5,Car
449,S90 T6,Car
450,S90 T8,Car
451,V60,Car
452,V60 CC,Car
453,V90 CC,Car
454,V90 T5,Car
455,V90 T6,Car
456,XC60 T5,SUV
457,XC60 T6,SUV
458,XC60 T8,SUV
459,XC90 T5,SUV
460,XC90 T6,SUV
461,XC90 T8,SUV
462,ALLROAD,Car
463,MULSANNE EXTENDED,Car
464,5 SERIES GT,Car
465,I3,EV
466,I3 PHEV,EV
467,I8 PHEV,EV
468,X3,SUV
469,VERANO,Car
470,CT6 HYBRID,Car
471,BOLT,EV
472,CAPRICE PPV,Car
473,CITY EXPRESS,Van
474,EXPRESS CARGO G23405,Van
475,EXPRESS CARGO G23705,Van
476,EXPRESS CARGO G33405,Van
477,EXPRESS CARGO G33705,Van
478,MALIBU ECO,Car
479,SS,Car
480,200,Car
481,VIPER,Sport
482,500,Car
483,500 ABARTH,Hatch
484,500 ABARTH CABRIO,Hatch
485,500 BEV,EV
486,500 CABRIO,Hatch
487,500L,Hatch
488,500X,Hatch
489,CMAX ENERGI,EV
490,F-150 CREW CAB,Truck
491,F-350 SUPER CREW,Truck
492,ACADIA DENALI,SUV
493,ACADIA LIMITED,SUV
494,SAVANA CARGO G23405,Van
495,SAVANA CARGO G23705,Van
496,SAVANA CARGO G33405,Van
497,SAVANA CARGO G33705,Van
498,YUKON DENALI,SUV
499,YUKON DENALI XL 1500,SUV
500,ACCORD HYBRID,Car
501,CLARITY ELECTRIC,EV
502,ACCENT 5,Car
503,AZERA,Car
504,TUCSON FUEL CELL,EV
505,VELOSTER,Hatch
506,QX50,SUV
507,QX60 HYBRID,SUV
508,QX70,SUV
509,QX80,SUV
510,PATRIOT,SUV
511,RENEGADE,SUV
512,FORTE KOUP,Car
513,RANGE ROVER EVOQUE (3-DOOR),SUV
514,CT200H,Hatch
515,GS200T,Car
516,IS200T,Car
517,LS460,Car
518,LS460L,Car
519,NX200T,SUV
520,RC200T,Car
521,RC300,Car
522,RC350,Car
523,AMG GT S,Sport
524,B-CLASS E-CELL,EV
525,C-CLASS HYBRID,Car
526,GLE-CLASS HYBRID,Car
527,S-CLASS HYBRID,Car
528,CLUBMAN ALL4,Hatch
529,IMIEV,EV
530,LANCER,Car
531,JUKE,SUV
532,LEAF BEV,EV
533,MURANO,SUV
534,NV1500,Van
535,NV2500,Van
536,NV3500,Van
537,QUEST,Van
538,ROGUE HYBRID,SUV
539,ROGUE SPORT,SUV
540,CAYENNE DIESEL,SUV
541,CAYENNE DIESEL PLATINUM,SUV
542,PROMASTER CITY,Van
543,PHANTOM,Car
544,PHANTOM EWB,Car
545,CABRIO,Car
546,FORTWO,Car
547,MODEL 3,EV
548,MODEL S 60,EV
549,MODEL S 60D,EV
550,MODEL S 75,EV
551,MODEL S 75D,EV
552,MODEL S 90D,EV
553,MODEL S P100D,EV
554,MODEL S P90D,EV
555,MODEL X 60D,EV
556,MODEL X 75D,EV
557,MODEL X 90D,EV
558,MODEL X P100D,EV
559,MODEL X P90D,EV
560,PRIUS V,Car
561,SCION IM,Car
562,CC,Car
563,TOUAREG,SUV
564,XC60,SUV
